Time,I_load
0.077640000000002596,503.18910319901988
0.077650000000002592,503.73552841165292
0.077660000000002588,504.28395616108901
0.077670000000002584,504.83436950798932
0.07768000000000258,505.3867513993282
0.077690000000002576,505.94108489576683
0.077700000000002573,506.49735311480981
0.077710000000002569,507.0555387760578
0.077720000000002565,507.61562505385882
0.077730000000002561,508.17759478150037
0.077740000000002557,508.7414309059568
0.077750000000002553,509.30711626051561
0.077760000000002549,509.87463390583798
0.077770000000002545,510.44396650468116
0.077780000000002542,511.01509700401948
0.077790000000002538,511.58800829398388
0.077800000000002534,512.16268303733159
0.07781000000000253,512.73910423788038
0.077820000000002526,513.3172545583875
0.077830000000002522,513.89711677529704
0.077840000000002518,514.47867366505307
0.077850000000002514,515.06190794725626
0.077860000000002511,515.64680234150728
0.077870000000002507,516.23333962425022
0.077880000000002503,516.8215024013989
0.077890000000002499,517.41127344939741
0.077900000000002495,518.00263537415958
0.077910000000002491,518.59557083844265
0.077920000000002487,519.19006244816046
0.077930000000002483,519.78609297975709
0.07794000000000248,520.3836448686161
0.077950000000002476,520.98270083433817
0.077960000000002472,521.5832433691503
0.077970000000002468,522.18525513580971
0.077980000000002464,522.78871874023025
0.07799000000000246,523.39361661779549
0.078000000000002456,523.99993137441925
0.078010000000002452,524.60764550232852
0.078020000000002449,525.21674160743714
0.078030000000002445,525.82720206828526
0.078040000000002441,526.4390094907867
0.078050000000002437,527.05214636716846
0.078060000000002433,527.66659513281411
0.078070000000002429,528.28233827995064
0.078080000000002425,528.8993581871182
0.078090000000002421,529.51763746023062
0.078100000000002417,530.13715836414121
0.078110000000002414,530.75790350476382
0.07812000000000241,531.37985514695174
0.078130000000002406,532.00299578293198
0.078140000000002402,532.62730784808809
0.078150000000002398,533.25277366411683
0.078160000000002394,533.87937572324518
0.07817000000000239,534.50709629032644
0.078180000000002386,535.13591780074421
0.078190000000002383,535.76582268988204
0.078200000000002379,536.39679322259326
0.078210000000002375,537.02881177741801
0.078220000000002371,537.66186073289646
0.078230000000002367,538.29592246756874
0.078240000000002363,538.93097918944477
0.078250000000002359,539.56701333390811
0.078260000000002355,540.20400722265549
0.078270000000002352,540.84194317738365
0.078280000000002348,541.48080346294591
0.078290000000002344,542.12057034419558
0.07830000000000234,542.76122637020308
0.078310000000002336,543.40275369213487
0.078320000000002332,544.04513457484427
0.078330000000002328,544.6883512831846
0.078340000000002324,545.33238630938285
0.078350000000002321,545.97722169091867
0.078360000000002317,546.62283992001903
0.078370000000002313,547.26922326153726
0.078380000000002309,547.91635386663984
0.078390000000002305,548.56421411386691
0.078400000000002301,549.2127862680718
0.078410000000002297,549.86205248042097
0.078420000000002293,550.51199535682827
0.07843000000000229,551.16259682108648
0.078440000000002286,551.81383936542261
0.078450000000002282,552.46570514100313
0.078460000000002278,553.11817652636819
0.078470000000002274,553.77123567268427
0.07848000000000227,554.42486507217836
0.078490000000002266,555.07904653495643
0.078500000000002262,555.73376289430598
0.078510000000002259,556.38899618770665
0.078520000000002255,557.04472856632492
0.078530000000002251,557.70094263607461
0.078540000000002247,558.35762032074854
0.078550000000002243,559.01474388520001
0.078560000000002239,559.67229604902968
0.078570000000002235,560.33025873603037
0.078580000000002231,560.98861432474223
0.078590000000002228,561.64734508001857
0.078600000000002224,562.3064332667127
0.07861000000000222,562.96586126336479
0.078620000000002216,563.62561133482814
0.078630000000002212,564.28566597332974
0.078640000000002208,564.94600698897557
0.078650000000002204,565.60661721505312
0.0786600000000022,566.26747868904204
0.078670000000002197,566.92857390316931
0.078680000000002193,567.58988500860141
0.078690000000002189,568.25139449756534
0.078700000000002185,568.91308463491441
0.078710000000002181,569.5749375718151
0.078720000000002177,570.23693591418123
0.078730000000002173,570.89906204055296
0.078740000000002169,571.56129821578361
0.078750000000002165,572.22362670472648
0.078760000000002162,572.88603011329542
0.078770000000002158,573.54849059265689
0.078780000000002154,574.21099074872473
0.07879000000000215,574.8735127326654
0.078800000000002146,575.53603915039275
0.078810000000002142,576.19855226676009
0.078820000000002138,576.86103468768124
0.078830000000002134,577.52346867800952
0.078840000000002131,578.18583684365876
0.078850000000002127,578.84812144948228
0.078860000000002123,579.51030498770706
0.078870000000002119,580.17237017793377
0.078880000000002115,580.83429905764206
0.078890000000002111,581.49607446011942
0.078900000000002107,582.15767865021917
0.078910000000002103,582.81909434754198
0.0789200000000021,583.48030404431483
0.078930000000002096,584.14129011907789
0.078940000000002092,584.80203517774498
0.078950000000002088,585.46252182622993
0.078960000000002084,586.12273255675973
0.07897000000000208,586.78264997524821
0.078980000000002076,587.44225680129603
0.078990000000002072,588.10153541344334
0.079000000000002069,588.76046853129083
0.079010000000002065,589.4190387607523
0.079020000000002061,590.0772287077416
0.079030000000002057,590.73502109185938
0.079040000000002053,591.39239863270632
0.079050000000002049,592.0493438225094
0.079060000000002045,592.70583960824297
0.079070000000002041,593.36186836844718
0.079080000000002038,594.0174131637832
0.079090000000002034,594.67245660016488
0.07910000000000203,595.32698139719287
0.079110000000002026,595.98097027446784
0.079120000000002022,596.63440606527729
0.079130000000002018,597.28727171659557
0.079140000000002014,597.9395498343365
0.07915000000000201,598.5912232517876
0.079160000000002007,599.24227491592319
0.079170000000002003,599.89268777371763
0.079180000000001999,600.54244454477157
0.079190000000001995,601.1915282897462
0.079200000000001991,601.83992161455535
0.079210000000001987,602.48760780723387
0.079220000000001983,603.13456981475611
0.079230000000001979,603.78079024303588
0.079240000000001976,604.42625238010805
0.079250000000001972,605.0709392866338
0.079260000000001968,605.71483356852696
0.079270000000001964,606.35791885488288
0.07928000000000196,607.00017786530225
0.079290000000001956,607.64159366044623
0.079300000000001952,608.28214930097602
0.079310000000001948,608.92182830230013
0.079320000000001945,609.56061344086265
0.079330000000001941,610.19848794785503
0.079340000000001937,610.83543511131211
0.079350000000001933,611.47143799189507
0.079360000000001929,612.10647993448219
0.079370000000001925,612.74054411342149
0.079380000000001921,613.37361387359124
0.079390000000001917,614.00567244618287
0.079400000000001913,614.63670317607466
0.07941000000000191,615.26668935130147
0.079420000000001906,615.89561448727181
0.079430000000001902,616.52346175833372
0.079440000000001898,617.15021467989573
0.079450000000001894,617.77585665367951
0.07946000000000189,618.40037113825019
0.079470000000001886,619.0237416490163
0.079480000000001882,619.64595158769953
0.079490000000001879,620.26698452655182
0.079500000000001875,620.88682409466855
0.079510000000001871,621.50545375061483
0.079520000000001867,622.12285712348603
0.079530000000001863,622.73901789922093
0.079540000000001859,623.35391959322806
