Time,I_load,I_load*VR1
0.021779999999999283,592.36199399492762,280714.18556543335
0.021789999999999282,592.93973589547022,281262.02431381261
0.021799999999999282,593.51523810846629,281808.27030650864
0.021809999999999281,594.08848642306111,282352.903776108
0.021819999999999281,594.65946651471313,282895.90489115845
0.021829999999999281,595.22816400203737,283437.2537836759
0.02183999999999928,595.79456467417913,283976.93065809284
0.02184999999999928,596.35865443397051,284514.91576522822
0.021859999999999279,596.92041890002656,285051.18921323679
0.021869999999999279,597.47984408886623,285585.73129371984
0.021879999999999278,598.03691590332164,286118.52223856538
0.021889999999999278,598.59162024622492,286649.54227484582
0.021899999999999278,599.14394313409503,287178.77168002212
0.021909999999999277,599.69387058345092,287706.19072836702
0.021919999999999277,600.24138861081155,288231.7796916801
0.021929999999999276,600.78648340322616,288755.51892196597
0.021939999999999276,601.32914109090052,289277.3887431433
0.021949999999999276,601.86934786088386,289797.36950637947
0.021959999999999275,602.40708984338198,290315.4415361461
0.021969999999999275,602.94235345281777,290831.58529533021
0.021979999999999274,603.47512498992728,291345.78119446634
0.021989999999999274,604.00539075544657,291858.00964715134
0.021999999999999274,604.53313710695511,292368.25109825953
0.022009999999999273,605.05835057256263,292876.48607982195
0.022019999999999273,605.58101756669203,293382.69507441693
0.022029999999999272,606.10112461745302,293886.8586259103
0.022039999999999272,606.61865830979878,294388.95731283567
0.022049999999999272,607.13360528552585,294888.97174924228
0.022059999999999271,607.6459521864308,295386.88255791063
0.022069999999999271,608.1556855974668,295882.67034342739
0.02207999999999927,608.66279238780407,296376.31585887645
0.02208999999999927,609.1672591992392,296867.79975783412
0.02209999999999927,609.66907301462925,297357.10287188843
0.022109999999999269,610.16822058945763,297844.20593458664
0.022119999999999269,610.66468884973801,298329.08977610443
0.022129999999999268,611.15846483517089,298811.73529652989
0.022139999999999268,611.6495354149265,299292.12332774978
0.022149999999999267,612.13788768554878,299770.23482870922
0.022159999999999267,612.62350874358162,300246.05077515909
0.022169999999999267,613.10638574241239,300719.55218827358
0.022179999999999266,613.5865058354284,301190.72010759485
0.022189999999999266,614.06385623286042,301659.5356196959
0.022199999999999265,614.53842420178262,302125.97985902737
0.022209999999999265,615.01019712295601,302590.03403673228
0.022219999999999265,615.47916220661136,303051.67930165486
0.022229999999999264,615.94530700403993,303510.89699284948
0.022239999999999264,616.40861895284615,303967.66841670795
0.022249999999999263,616.86908549063446,304421.97490358987
0.022259999999999263,617.32669416869612,304873.79786470789
0.022269999999999263,617.78143259516582,305323.11876498198
0.022279999999999262,618.23328837817826,305769.91909576714
0.022289999999999262,618.68224923955495,306214.1804318605
0.022299999999999261,619.12830290111742,306655.88437613484
0.022309999999999261,619.57143714153062,307095.01258845121
0.022319999999999261,620.01163979630292,307531.54678649659
0.02232999999999926,620.44889864409924,307965.46869019273
0.02233999999999926,620.88320174780165,308396.76019174093
0.022349999999999259,621.31453705660533,308825.40315907344
0.022359999999999259,621.74289246286207,309251.37946466572
0.022369999999999259,622.16825608629733,309674.67112763977
0.022379999999999258,622.59061610347999,310095.26022995176
0.022389999999999258,623.0099606341355,310513.12886055751
0.022399999999999257,623.42627791167615,310928.25920110097
0.022409999999999257,623.83955616951425,311340.63347010012
0.022419999999999256,624.24978369790551,311750.23395206459
0.022429999999999256,624.65694884394907,312157.04299832281
0.022439999999999256,625.06104006843088,312561.04305626859
0.022449999999999255,625.46204583213694,312962.21661338932
0.022459999999999255,625.85995453900978,313360.54616953264
0.022469999999999254,626.25475487720905,313756.01440841786
0.022479999999999254,626.64643536436415,314148.60397083819
0.022489999999999254,627.03498468863472,314538.29762620392
0.022499999999999253,627.42039153818041,314925.07818793767
0.022509999999999253,627.8026447148477,315308.92857129575
0.022519999999999252,628.18173296363966,315689.83170856501
0.022529999999999252,628.55764520008961,316067.77066403045
0.022539999999999252,628.93037022604403,316442.72849195043
0.022549999999999251,629.29989718440993,316814.68846604298
0.022559999999999251,629.6662149338772,317183.63376573398
0.02256999999999925,630.02931256050942,317549.54773430841
0.02257999999999925,630.38917915037018,317912.4137652897
0.02258999999999925,630.74580396005331,318272.21538920072
0.022599999999999249,631.09917618930922,318628.93615972192
0.022609999999999249,631.44928509473175,318982.55971174821
0.022619999999999248,631.79611993291473,319333.06973344611
0.022629999999999248,632.13967018782569,319680.45008194679
0.022639999999999248,632.47992517290186,320024.68458302855
0.022649999999999247,632.81687437211076,320365.75720425107
0.022659999999999247,633.15050743995016,320703.6520558864
0.022669999999999246,633.48081386038757,321038.35321899992
0.022679999999999246,633.80778328792076,321369.84491885523
0.022689999999999245,634.1314054338909,321698.11146815907
